idx,Action
129112,Sliding Two Fingers Down
131717,Sliding Two Fingers Up
136859,Thumb Up
68574,Swiping Right
60572,Stop Sign
118480,Doing other things
20706,No gesture
39493,No gesture
50209,Sliding Two Fingers Down
33174,Turning Hand Clockwise
62818,Swiping Left
14506,Stop Sign
15953,Sliding Two Fingers Down
1338,Swiping Right
10179,Swiping Left
33632,Doing other things
28883,No gesture
95986,Doing other things
37219,Stop Sign
141369,Sliding Two Fingers Up
109425,Sliding Two Fingers Up
120723,Doing other things
49506,Stop Sign
12133,No gesture
123985,No gesture
2720,Thumb Up
63541,Stop Sign
102678,No gesture
133457,Sliding Two Fingers Up
6458,Doing other things
10504,No gesture
72381,Doing other things
104639,Swiping Left
127712,Thumb Up
71426,Sliding Two Fingers Down
40881,Sliding Two Fingers Down
86318,Turning Hand Clockwise
22613,Thumb Up
39088,Turning Hand Clockwise
118779,Turning Hand Clockwise
116788,Sliding Two Fingers Up
55705,Sliding Two Fingers Down
142559,Sliding Two Fingers Up
114674,No gesture
114827,No gesture
136846,Turning Hand Clockwise
108964,Thumb Up
131638,Doing other things
105791,Swiping Left
38482,Swiping Left
125641,Sliding Two Fingers Up
78394,Swiping Right
5137,Sliding Two Fingers Down
75590,Sliding Two Fingers Up
126147,Doing other things
111880,Swiping Left
43404,Doing other things
88051,No gesture
51084,No gesture
85276,Stop Sign
55697,Doing other things
77724,Sliding Two Fingers Down
147456,Swiping Left
95139,Turning Hand Clockwise
93110,Thumb Up
6022,No gesture
23903,No gesture
25891,Doing other things
136771,Thumb Up
75238,Swiping Left
33220,No gesture
72511,Sliding Two Fingers Up
39319,Swiping Left
52906,Swiping Right
104847,Sliding Two Fingers Down
113147,Swiping Left
84384,Stop Sign
11748,Stop Sign
52825,Thumb Up
84237,No gesture
125509,Doing other things
56683,No gesture
84901,Doing other things
8466,No gesture
67863,Thumb Up
134801,No gesture
94725,No gesture
60289,Sliding Two Fingers Down
68138,Doing other things
22189,Sliding Two Fingers Up
53151,Thumb Up
91419,Sliding Two Fingers Down
111679,Swiping Right
66147,Thumb Up
68933,Stop Sign
135294,Swiping Right
36753,Turning Hand Clockwise
16198,Swiping Right
60953,Sliding Two Fingers Up
103305,Swiping Right
72295,Sliding Two Fingers Up
3527,Sliding Two Fingers Up
101807,Stop Sign
145771,Swiping Right
48879,Turning Hand Clockwise
105959,Doing other things
22459,Thumb Up
69234,Turning Hand Clockwise
144993,No gesture
114831,Doing other things
33127,Turning Hand Clockwise
143389,Sliding Two Fingers Up
22724,No gesture
41307,Doing other things
117118,Sliding Two Fingers Up
4777,Doing other things
79950,Doing other things
48306,Thumb Up
63000,Doing other things
102451,Thumb Up
36169,Thumb Up
15429,Swiping Left
49703,Doing other things
18931,Thumb Up
47845,Sliding Two Fingers Down
84349,Sliding Two Fingers Down
47086,Thumb Up
115360,Sliding Two Fingers Up
37973,Doing other things
132650,Thumb Up
62890,Sliding Two Fingers Up
18870,Doing other things
2340,Stop Sign
95871,Stop Sign
75466,Stop Sign
86691,Doing other things
25100,Thumb Up
11790,Doing other things
3452,Swiping Left
7388,Turning Hand Clockwise
11217,Sliding Two Fingers Up
75630,Turning Hand Clockwise
125940,Thumb Up
78455,Doing other things
876,Stop Sign
47572,No gesture
130848,No gesture
10185,Thumb Up
73495,Swiping Left
29992,Doing other things
139405,Stop Sign
11332,Doing other things
14299,No gesture
42113,Doing other things
65499,Swiping Left
131313,Swiping Right
77631,Stop Sign
3094,Doing other things
80148,Swiping Right
47344,Thumb Up
117454,No gesture
146793,Swiping Left
25912,Sliding Two Fingers Up
70911,Stop Sign
2449,Turning Hand Clockwise
51882,Swiping Left
81824,No gesture
16156,Doing other things
37404,Doing other things
112618,Doing other things
1422,Doing other things
132729,Sliding Two Fingers Up
141488,Sliding Two Fingers Up
41450,Stop Sign
41420,Turning Hand Clockwise
53217,Sliding Two Fingers Up
97089,Sliding Two Fingers Down
112624,Doing other things
112475,Thumb Up
79836,Sliding Two Fingers Down
9760,Doing other things
84764,Swiping Right
105614,Sliding Two Fingers Up
1393,No gesture
75476,Sliding Two Fingers Down
40388,Swiping Left
31738,Swiping Right
114473,Sliding Two Fingers Down
141072,Sliding Two Fingers Down
129092,Sliding Two Fingers Down
37887,Doing other things
33934,Sliding Two Fingers Down
35970,Sliding Two Fingers Down
128353,Thumb Up
77675,Sliding Two Fingers Up
60360,Turning Hand Clockwise
144504,Doing other things
91770,Doing other things
27945,Swiping Right
45738,Turning Hand Clockwise
32575,Turning Hand Clockwise
78722,Sliding Two Fingers Up
109603,Doing other things
114126,Stop Sign
19105,Thumb Up
91465,Swiping Right
116498,Swiping Left
94634,Stop Sign
82435,Thumb Up
87452,Doing other things
14436,Sliding Two Fingers Up
141075,Doing other things
33765,Sliding Two Fingers Down
118486,Sliding Two Fingers Down
20597,Swiping Right
92812,Sliding Two Fingers Down
61914,Sliding Two Fingers Up
28955,Turning Hand Clockwise
76050,Doing other things
112499,Thumb Up
118724,Sliding Two Fingers Down
143053,Thumb Up
20768,No gesture
96069,Sliding Two Fingers Up
33856,Doing other things
50265,Swiping Right
1771,Sliding Two Fingers Up
73094,Turning Hand Clockwise
11701,Doing other things
95462,Thumb Up
25465,Sliding Two Fingers Up
78077,Turning Hand Clockwise
81651,Swiping Left
133303,Turning Hand Clockwise
35167,Doing other things
56376,Stop Sign
143729,Swiping Left
141531,Sliding Two Fingers Up
128004,No gesture
49247,Sliding Two Fingers Up
40717,Stop Sign
119948,Swiping Left
57946,Stop Sign
28195,Doing other things
68129,Sliding Two Fingers Up
69894,Swiping Right
82375,Doing other things
108595,Thumb Up
67530,Stop Sign
74775,No gesture
93303,Swiping Left
89526,Doing other things
106490,Thumb Up
91524,Stop Sign
72465,Swiping Right
57730,Sliding Two Fingers Down
11533,Doing other things
58382,Swiping Right
46594,Doing other things
69754,Sliding Two Fingers Up
97640,Doing other things
61068,Thumb Up
133038,Doing other things
112539,No gesture
141002,Thumb Up
65787,Sliding Two Fingers Up
104774,No gesture
1138,Sliding Two Fingers Up
47158,Sliding Two Fingers Down
80494,No gesture
110469,Swiping Left
144583,Swiping Left
13359,Thumb Up
103225,Doing other things
5818,Stop Sign
55315,No gesture
79837,Sliding Two Fingers Down
112486,Turning Hand Clockwise
5897,Doing other things
37748,Sliding Two Fingers Up
120782,Stop Sign
36764,Turning Hand Clockwise
40001,Sliding Two Fingers Down
114451,No gesture
79750,Doing other things
115640,Sliding Two Fingers Down
38949,Swiping Right
131483,Doing other things
88668,Sliding Two Fingers Up
63036,Swiping Left
49399,No gesture
31158,Sliding Two Fingers Up
142366,Sliding Two Fingers Down
142561,Thumb Up
25144,No gesture
143158,Swiping Left
80103,Thumb Up
146803,Sliding Two Fingers Up
54191,Doing other things
137582,Swiping Right
121477,Doing other things
10290,Doing other things
8018,Sliding Two Fingers Up
33658,No gesture
53108,Swiping Left
11991,Doing other things
27593,Swiping Right
140001,Doing other things
2923,No gesture
10509,Doing other things
146317,Swiping Right
67115,Stop Sign
141612,Sliding Two Fingers Up
66310,Doing other things
14674,Swiping Right
91086,Swiping Left
29401,Sliding Two Fingers Down
1657,Stop Sign
67303,Stop Sign
145195,Thumb Up
80145,Thumb Up
146855,No gesture
123689,Sliding Two Fingers Up
16764,No gesture
146228,No gesture
119370,Swiping Right
61814,Swiping Right
7119,Doing other things
43852,No gesture
55250,Sliding Two Fingers Up
120138,Swiping Right
97295,Doing other things
90562,Swiping Left
69696,Doing other things
75342,Sliding Two Fingers Up
75627,Doing other things
27115,Swiping Right
59772,Sliding Two Fingers Up
81743,Turning Hand Clockwise
40012,Turning Hand Clockwise
65896,Turning Hand Clockwise
134464,Swiping Right
24925,Sliding Two Fingers Up
31427,Swiping Left
128628,Doing other things
107908,No gesture
7888,No gesture
47525,Sliding Two Fingers Up
108604,No gesture
105684,Sliding Two Fingers Down
28784,Sliding Two Fingers Down
47375,Swiping Left
12899,Turning Hand Clockwise
132131,Swiping Right
88841,Stop Sign
123228,No gesture
27180,Sliding Two Fingers Up
17879,Swiping Right
23000,Doing other things
24100,Doing other things
61589,Doing other things
141120,Swiping Right
144792,Doing other things
64355,Thumb Up
46470,Turning Hand Clockwise
25738,Sliding Two Fingers Down
74581,Swiping Left
31044,Thumb Up
86855,Doing other things
99901,No gesture
98339,Doing other things
25695,Swiping Left
58915,No gesture
46746,Sliding Two Fingers Down
75935,No gesture
107604,Doing other things
85551,Thumb Up
98076,Doing other things
112877,No gesture
18793,Swiping Left
64428,Stop Sign
29039,Turning Hand Clockwise
35377,Doing other things
39776,Swiping Right
111459,Stop Sign
70414,Sliding Two Fingers Up
127323,Swiping Right
109845,Doing other things
101099,Doing other things
119736,Doing other things
132944,No gesture
50587,Stop Sign
73552,Sliding Two Fingers Up
73339,Swiping Left
56813,Sliding Two Fingers Up
141164,Turning Hand Clockwise
41347,Turning Hand Clockwise
81247,Swiping Left
45087,Turning Hand Clockwise
103552,Swiping Right
115308,Doing other things
35399,Doing other things
127928,Stop Sign
130005,Stop Sign
110146,Sliding Two Fingers Down
641,Stop Sign
147877,Turning Hand Clockwise
129551,Thumb Up
59466,Doing other things
70484,Doing other things
68018,Turning Hand Clockwise
21651,No gesture
116755,No gesture
45824,Doing other things
70255,No gesture
83196,No gesture
128814,Swiping Left
73145,Doing other things
53335,Stop Sign
30677,No gesture
143634,Swiping Right
80704,Thumb Up
117908,Turning Hand Clockwise
146147,Thumb Up
138452,Turning Hand Clockwise
88183,No gesture
16518,Stop Sign
5895,Stop Sign
35328,Swiping Left
87584,Doing other things
104679,Doing other things
3893,Thumb Up
119880,Doing other things
35110,Sliding Two Fingers Down
26128,Doing other things
94806,Stop Sign
124730,Swiping Right
110196,No gesture
144566,Sliding Two Fingers Up
105432,Sliding Two Fingers Up
95498,Sliding Two Fingers Down
15885,Swiping Right
15777,Stop Sign
129476,Turning Hand Clockwise
48907,Doing other things
125686,Sliding Two Fingers Up
113433,Doing other things
26965,Swiping Left
35682,Turning Hand Clockwise
137079,Thumb Up
91661,Stop Sign
141485,Doing other things
96630,Doing other things
112771,Doing other things
64309,Swiping Right
84926,Sliding Two Fingers Down
109589,Doing other things
99523,Swiping Right
44725,Thumb Up
131773,Sliding Two Fingers Down
48393,Turning Hand Clockwise
52751,Turning Hand Clockwise
11245,No gesture
83011,Swiping Left
95506,Sliding Two Fingers Down
32644,Sliding Two Fingers Down
99336,Doing other things
110991,Swiping Left
31678,Swiping Left
134443,Sliding Two Fingers Up
125128,Swiping Left
107174,Swiping Left
79589,Sliding Two Fingers Up
122779,Sliding Two Fingers Down
70810,No gesture
892,Doing other things
118719,Doing other things
89599,Swiping Left
51555,Turning Hand Clockwise
75189,Turning Hand Clockwise
133538,Stop Sign
119972,Doing other things
84909,Swiping Right
28689,Swiping Right
41712,No gesture
98569,Sliding Two Fingers Up
22596,No gesture
56086,Doing other things
44066,Doing other things
28086,Doing other things
43277,Sliding Two Fingers Up
73410,Sliding Two Fingers Up
33125,Sliding Two Fingers Up
67881,Stop Sign
95980,No gesture
46415,Sliding Two Fingers Down
108562,Sliding Two Fingers Down
41111,Thumb Up
40436,Stop Sign
105765,Sliding Two Fingers Up
134446,Stop Sign
78119,Sliding Two Fingers Up
115455,Sliding Two Fingers Up
134283,Swiping Left
39779,Swiping Right
112887,Stop Sign
124393,Doing other things
9028,Swiping Right
130015,Swiping Right
89023,Thumb Up
27161,Turning Hand Clockwise
74543,No gesture
108596,Doing other things
46959,Thumb Up
121502,Swiping Left
73240,No gesture
63725,Swiping Left
12100,Thumb Up
30808,Sliding Two Fingers Up
94110,Swiping Left
74155,Sliding Two Fingers Up
6939,Swiping Left
99853,Swiping Right
126009,Stop Sign
51241,Swiping Right
4946,Sliding Two Fingers Down
3415,Swiping Left
45202,Sliding Two Fingers Down
95034,Turning Hand Clockwise
131724,Swiping Right
41178,Sliding Two Fingers Up
94156,Swiping Left
80205,Stop Sign
4158,Thumb Up
126394,Thumb Up
102236,Sliding Two Fingers Down
115430,Swiping Left
129776,Doing other things
16795,Sliding Two Fingers Up
128954,Doing other things
88341,No gesture
135051,Doing other things
106949,Doing other things
20617,Sliding Two Fingers Down
56854,Thumb Up
112345,Doing other things
79298,Turning Hand Clockwise
34741,Swiping Right
110115,Sliding Two Fingers Down
39387,Stop Sign
21514,No gesture
125637,Stop Sign
120299,Stop Sign
118873,Stop Sign
110279,No gesture
2753,Doing other things
81741,Doing other things
19240,Turning Hand Clockwise
82106,Thumb Up
23087,Doing other things
66621,Sliding Two Fingers Down
139471,Doing other things
1050,Swiping Right
